;AutoSpike-32 ASCII File
;1
; Wave data Signal pse_L2_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-62
0.000052	46
0.000104	-96
0.000156	-48
0.000208	-38
0.000260	-1
0.000313	-60
0.000365	-55
0.000417	5
0.000469	-65
0.000521	-59
0.000573	34
0.000625	-58
0.000677	-57
0.000729	-45
0.000781	-10
0.000833	-53
0.000885	-73
0.000938	30
0.000990	-82
0.001042	-103
0.001094	-24
0.001146	-22
0.001198	-45
0.001250	-20
0.001302	-15
0.001354	-20
0.001406	-75
0.001458	-23
0.001510	-6
0.001562	-41
0.001615	-35
0.001667	48
0.001719	-36
0.001771	-94
0.001823	-9
0.001875	-48
0.001927	-48
0.001979	4
0.002031	-11
0.002083	-58
0.002135	-93
0.002187	-32
0.002240	-43
0.002292	-68
0.002344	-18
0.002396	-68
0.002448	-121
0.002500	-38
0.002552	-13
0.002604	-34
0.002656	-52
0.002708	-4
0.002760	26
0.002812	-50
0.002865	-36
0.002917	8
0.002969	-51
0.003021	-129
0.003073	-5
0.003125	-60
0.003177	-107
0.003229	-51
0.003281	-54
0.003333	-39
0.003385	-46
0.003437	23
0.003490	-21
0.003542	-81
0.003594	-15
0.003646	-36
0.003698	-16
0.003750	24
0.003802	22
0.003854	-83
0.003906	-92
0.003958	8
0.004010	-47
0.004062	-46
0.004115	-65
0.004167	-45
0.004219	-113
0.004271	-18
0.004323	37
0.004375	-68
0.004427	-70
0.004479	6
0.004531	-21
0.004583	-40
0.004635	-58
0.004687	-16
0.004740	-18
0.004792	-75
0.004844	-68
0.004896	-50
0.004948	-95
0.005000	-71
0.005052	-14
0.005104	-55
0.005156	-86
0.005208	38
0.005260	28
0.005313	-64
0.005365	-50
0.005417	19
0.005469	-35
0.005521	-3
0.005573	60
0.005625	-28
0.005677	-40
0.005729	17
0.005781	40
0.005833	-83
0.005885	-97
0.005938	12
0.005990	-56
0.006042	-50
0.006094	8
0.006146	-56
0.006198	-116
0.006250	-106
0.006302	-30
0.006354	-83
0.006406	-37
0.006458	23
0.006510	-17
0.006563	-101
0.006615	5
0.006667	4
0.006719	-85
0.006771	-109
0.006823	-35
0.006875	12
0.006927	-65
0.006979	-31
0.007031	-44
0.007083	-65
0.007135	-3
0.007188	23
0.007240	-73
0.007292	-79
0.007344	-42
0.007396	-63
0.007448	-111
0.007500	-87
0.007552	-33
0.007604	-54
0.007656	-46
0.007708	39
0.007760	-33
0.007813	-85
0.007865	2
0.007917	20
0.007969	25
0.008021	-64
0.008073	34
0.008125	-5
0.008177	-63
0.008229	13
0.008281	-8
0.008333	14
0.008385	-38
0.008438	-29
0.008490	-58
0.008542	-102
0.008594	-17
0.008646	-29
0.008698	-85
0.008750	-58
0.008802	-42
0.008854	-86
0.008906	-66
0.008958	11
0.009010	-61
0.009063	-152
0.009115	-22
0.009167	-43
0.009219	-98
0.009271	-46
0.009323	14
0.009375	-90
0.009427	-87
0.009479	-7
0.009531	23
0.009583	-78
0.009635	-79
0.009687	-9
0.009740	-26
0.009792	-83
0.009844	13
0.009896	-3
0.009948	-62
0.010000	27
0.010052	-12
0.010104	-60
0.010156	-101
0.010208	-6
0.010260	8
0.010312	-77
0.010365	14
0.010417	23
0.010469	-53
0.010521	-56
0.010573	20
0.010625	-32
0.010677	-104
0.010729	-2
0.010781	-43
0.010833	-34
0.010885	-11
0.010937	-18
0.010990	-63
0.011042	-60
0.011094	-16
0.011146	-68
0.011198	-32
0.011250	-44
0.011302	-37
0.011354	-42
0.011406	-97
0.011458	-28
0.011510	-74
0.011562	-122
0.011615	-32
0.011667	-53
0.011719	-81
0.011771	-17
0.011823	16
0.011875	-19
0.011927	-36
0.011979	-4
0.012031	-17
0.012083	-45
0.012135	-68
0.012187	9
0.012240	-56
0.012292	-36
0.012344	49
0.012396	26
0.012448	-40
0.012500	-105
0.012552	-74
0.012604	-50
0.012656	-43
0.012708	20
0.012760	12
0.012812	-97
0.012865	-53
0.012917	30
0.012969	-44
0.013021	-86
0.013073	20
0.013125	-28
0.013177	-72
0.013229	56
0.013281	26
0.013333	-63
0.013385	-64
0.013437	-10
0.013490	-37
0.013542	-48
0.013594	23
0.013646	-44
0.013698	-30
0.013750	-51
0.013802	-18
0.013854	-62
0.013906	-73
0.013958	-8
0.014010	-100
0.014062	-91
0.014115	13
0.014167	-33
0.014219	-124
0.014271	-63
0.014323	-22
0.014375	-58
0.014427	-71
0.014479	12
0.014531	-23
0.014583	-45
0.014635	19
0.014687	8
0.014740	-23
0.014792	-78
0.014844	-34
0.014896	-27
0.014948	-100
0.015000	-33
0.015052	43
0.015104	-15
0.015156	-18
0.015208	12
0.015260	-91
0.015312	-101
0.015365	32
0.015417	-24
0.015469	-72
0.015521	-48
0.015573	43
0.015625	-47
0.015677	-130
0.015729	4
0.015781	-27
0.015833	-59
0.015885	-51
0.015937	-54
0.015990	-77
0.016042	11
0.016094	6
0.016146	-45
0.016198	-69
0.016250	-30
0.016302	-12
0.016354	-19
0.016406	-91
0.016458	8
0.016510	-59
0.016562	-75
0.016615	14
0.016667	-29
0.016719	-84
0.016771	-34
0.016823	-74
0.016875	-80
0.016927	-89
0.016979	12
0.017031	-39
0.017083	-82
0.017135	-9
0.017187	-36
0.017240	-33
0.017292	-57
0.017344	10
0.017396	-37
0.017448	-92
0.017500	-16
0.017552	17
0.017604	-99
0.017656	-72
0.017708	-11
0.017760	-45
0.017812	-117
0.017865	-20
0.017917	-72
0.017969	-74
0.018021	-23
0.018073	-13
0.018125	-74
0.018177	-51
0.018229	29
0.018281	-74
0.018333	-98
0.018385	-36
0.018438	-2
0.018490	-40
0.018542	-59
0.018594	-24
0.018646	-63
0.018698	-70
0.018750	35
0.018802	-21
0.018854	-54
0.018906	-30
0.018958	66
0.019010	-14
0.019063	-94
0.019115	-1
0.019167	-92
0.019219	-110
0.019271	-84
0.019323	-18
0.019375	-104
0.019427	-79
0.019479	-21
0.019531	-24
0.019583	-132
0.019635	-29
0.019688	-65
0.019740	-54
0.019792	-10
0.019844	16
0.019896	-47
0.019948	-88
0.020000	-13
0.020052	-19
0.020104	-57
0.020156	-48
0.020208	5
0.020260	-54
0.020313	-78
0.020365	49
0.020417	19
0.020469	-40
0.020521	11
0.020573	-5
0.020625	-50
0.020677	-31
0.020729	27
0.020781	-46
0.020833	-129
0.020885	-3
0.020938	-60
0.020990	-15
0.021042	-64
0.021094	-30
0.021146	-88
0.021198	-82
0.021250	8
0.021302	-28
0.021354	-15
0.021406	-63
0.021458	-45
0.021510	-59
0.021563	-60
0.021615	7
0.021667	-34
0.021719	-83
0.021771	-25
0.021823	-33
0.021875	-98
0.021927	-131
0.021979	-32
0.022031	-69
0.022083	-34
0.022135	-7
0.022188	-59
0.022240	-65
0.022292	38
0.022344	30
0.022396	-49
0.022448	-133
0.022500	3
0.022552	-28
0.022604	1
0.022656	-52
0.022708	-1
0.022760	-33
0.022813	-32
0.022865	-28
0.022917	-45
0.022969	-96
0.023021	-105
0.023073	29
0.023125	-30
0.023177	-53
0.023229	56
0.023281	-42
0.023333	-45
0.023385	-11
0.023438	-45
0.023490	-70
0.023542	-30
0.023594	33
0.023646	-14
0.023698	-60
0.023750	-10
0.023802	-20
0.023854	-111
0.023906	-21
0.023958	-2
0.024010	-62
0.024063	-65
0.024115	-27
0.024167	-7
0.024219	-45
0.024271	35
0.024323	-56
0.024375	-22
0.024427	-13
0.024479	28
0.024531	-2
0.024583	-75
0.024635	-37
0.024688	-2
0.024740	-52
0.024792	-32
0.024844	-1
0.024896	-59
0.024948	-53
0.025000	-33
0.025052	-41
0.025104	-79
0.025156	-57
0.025208	-29
0.025260	-94
0.025313	-133
0.025365	-17
0.025417	-13
0.025469	-86
0.025521	11
0.025573	-36
0.025625	-123
0.025677	-72
0.025729	-10
0.025781	-41
0.025833	-52
0.025885	0
0.025938	-33
0.025990	-19
0.026042	-4
0.026094	30
0.026146	-80
0.026198	-69
0.026250	18
0.026302	-36
0.026354	-37
0.026406	-4
0.026458	-11
0.026510	-43
0.026563	-27
0.026615	-4
0.026667	-44
0.026719	-30
0.026771	0
0.026823	19
0.026875	-86
0.026927	-79
0.026979	-29
0.027031	-84
0.027083	-49
0.027135	-47
0.027188	-11
0.027240	-93
0.027292	-61
0.027344	-11
0.027396	-25
0.027448	-49
0.027500	-11
0.027552	-49
0.027604	-39
0.027656	19
0.027708	38
0.027760	-35
0.027813	-50
0.027865	3
0.027917	-93
0.027969	-71
0.028021	-26
0.028073	-1
0.028125	-34
0.028177	4
0.028229	-41
0.028281	-8
0.028333	-54
0.028385	-66
0.028438	-12
0.028490	-29
0.028542	-35
0.028594	-60
0.028646	-106
0.028698	-33
0.028750	-3
0.028802	-10
0.028854	-87
0.028906	-107
0.028958	-6
0.029010	-51
0.029063	-2
0.029115	53
0.029167	-57
0.029219	-108
0.029271	8
0.029323	16
0.029375	-88
0.029427	-12
0.029479	31
0.029531	-38
0.029583	-93
0.029635	19
0.029688	-85
0.029740	-69
0.029792	20
0.029844	41
0.029896	-72
0.029948	-31
0.030000	44
0.030052	-11
0.030104	-13
0.030156	-2
0.030208	-19
0.030260	-60
0.030313	-70
0.030365	-9
0.030417	-66
0.030469	-105
0.030521	-30
0.030573	-58
0.030625	-104
0.030677	-14
0.030729	50
0.030781	-61
0.030833	-112
0.030885	-10
0.030938	-80
0.030990	-130
0.031042	-49
0.031094	-34
0.031146	25
0.031198	19
0.031250	19
0.031302	-43
0.031354	-84
0.031406	-14
0.031458	-1
0.031510	-100
0.031563	-71
0.031615	-11
0.031667	-40
0.031719	-22
0.031771	22
0.031823	-32
0.031875	-97
0.031927	-55
0.031979	50
0.032031	-28
0.032083	-51
0.032135	51
0.032188	-34
0.032240	-74
0.032292	-38
0.032344	-7
0.032396	-97
0.032448	-47
0.032500	-4
0.032552	-60
0.032604	-65
0.032656	-14
0.032708	-27
0.032760	-39
0.032813	-65
0.032865	-5
0.032917	-61
0.032969	-31
0.033021	16
0.033073	-55
0.033125	-70
0.033177	-38
0.033229	-46
0.033281	-32
0.033333	-38
0.033385	-25
0.033438	7
0.033490	-64
0.033542	-37
0.033594	-27
0.033646	-71
0.033698	-26
0.033750	8
0.033802	-55
0.033854	-73
0.033906	27
0.033958	-36
0.034010	-54
0.034063	-55
0.034115	-20
0.034167	-50
0.034219	-106
0.034271	5
0.034323	-51
0.034375	-58
0.034427	22
0.034479	13
0.034531	-55
0.034583	-43
0.034635	-15
0.034688	-64
0.034740	-46
0.034792	3
0.034844	36
0.034896	-29
0.034948	-87
0.035000	15
0.035052	-82
0.035104	-74
0.035156	-28
0.035208	-73
0.035260	-52
0.035313	-72
0.035365	-10
0.035417	-117
0.035469	-71
0.035521	-24
0.035573	-93
0.035625	-119
0.035677	-67
0.035729	-51
0.035781	-21
0.035833	-51
0.035885	-17
0.035938	-75
0.035990	-73
0.036042	-1
0.036094	-27
0.036146	-22
0.036198	-8
0.036250	22
0.036302	-77
0.036354	-87
0.036406	22
0.036458	-12
0.036510	-80
0.036563	-57
0.036615	-25
0.036667	-57
0.036719	-58
0.036771	76
0.036823	41
0.036875	-2
0.036927	33
0.036979	-43
0.037031	-75
0.037083	-113
0.037135	-22
0.037188	-27
0.037240	-128
0.037292	-109
0.037344	-9
0.037396	-58
0.037448	-60
0.037500	6
0.037552	-82
0.037604	-54
0.037656	-30
0.037708	-26
0.037760	-51
0.037813	-60
0.037865	-13
0.037917	-57
0.037969	-63
0.038021	-6
0.038073	-36
0.038125	-51
0.038177	-1
0.038229	-28
0.038281	-27
0.038333	-4
0.038385	-2
0.038438	-83
0.038490	-61
0.038542	-10
0.038594	-51
0.038646	-54
0.038698	-67
0.038750	-12
0.038802	-10
0.038854	-93
0.038906	26
0.038958	-40
0.039010	-123
0.039063	-30
0.039115	65
0.039167	-41
0.039219	-69
0.039271	6
0.039323	-14
0.039375	-44
0.039427	-28
0.039479	12
0.039531	-73
0.039583	-75
0.039635	3
0.039688	-56
0.039740	-60
0.039792	11
0.039844	12
0.039896	-17
0.039948	-45
0.040000	-15
0.040052	-43
0.040104	-82
0.040156	52
0.040208	4
0.040260	-65
