;AutoSpike-32 ASCII File
;1
; Wave data Signal sim_L4_50mM_NaCl_01
; Rec. Factor 465.462670
; Sample rate 19200.0
; Format :<time> 	 <Value>
0.000000	-64
0.000052	-56
0.000104	-7
0.000156	-40
0.000208	-58
0.000260	-24
0.000313	21
0.000365	-41
0.000417	-21
0.000469	13
0.000521	-54
0.000573	-72
0.000625	-50
0.000677	-32
0.000729	-20
0.000781	-32
0.000833	31
0.000885	-28
0.000938	-1
0.000990	-12
0.001042	-8
0.001094	-45
0.001146	-78
0.001198	-25
0.001250	-28
0.001302	-38
0.001354	55
0.001406	46
0.001458	-14
0.001510	-55
0.001562	10
0.001615	2
0.001667	-79
0.001719	-74
0.001771	-81
0.001823	-85
0.001875	-76
0.001927	10
0.001979	-34
0.002031	10
0.002083	68
0.002135	4
0.002187	-65
0.002240	-46
0.002292	2
0.002344	-41
0.002396	-18
0.002448	-57
0.002500	-48
0.002552	-7
0.002604	-77
0.002656	-22
0.002708	-50
0.002760	-55
0.002812	-21
0.002865	-32
0.002917	-34
0.002969	-15
0.003021	-2
0.003073	-35
0.003125	-48
0.003177	23
0.003229	-38
0.003281	-69
0.003333	-66
0.003385	43
0.003437	-17
0.003490	-72
0.003542	-14
0.003594	-30
0.003646	-74
0.003698	29
0.003750	29
0.003802	-66
0.003854	-70
0.003906	2
0.003958	-10
0.004010	-9
0.004062	-43
0.004115	-5
0.004167	-55
0.004219	-18
0.004271	56
0.004323	20
0.004375	-66
0.004427	-20
0.004479	67
0.004531	-51
0.004583	-62
0.004635	72
0.004687	-9
0.004740	-67
0.004792	-24
0.004844	-32
0.004896	-109
0.004948	-52
0.005000	-7
0.005052	10
0.005104	-22
0.005156	-24
0.005208	-10
0.005260	-80
0.005313	-75
0.005365	-8
0.005417	24
0.005469	-26
0.005521	-41
0.005573	-72
0.005625	-2
0.005677	-69
0.005729	6
0.005781	26
0.005833	-33
0.005885	-5
0.005938	3
0.005990	-27
0.006042	-59
0.006094	-55
0.006146	-26
0.006198	-98
0.006250	-12
0.006302	-19
0.006354	-2
0.006406	-60
0.006458	17
0.006510	-53
0.006563	-71
0.006615	51
0.006667	63
0.006719	0
0.006771	3
0.006823	-21
0.006875	-42
0.006927	-102
0.006979	-49
0.007031	-53
0.007083	-49
0.007135	-39
0.007188	11
0.007240	17
0.007292	-89
0.007344	-24
0.007396	-19
0.007448	-4
0.007500	-23
0.007552	-9
0.007604	-68
0.007656	-117
0.007708	26
0.007760	-2
0.007813	-72
0.007865	-10
0.007917	33
0.007969	47
0.008021	-17
0.008073	10
0.008125	30
0.008177	-31
0.008229	-45
0.008281	4
0.008333	20
0.008385	-84
0.008438	-26
0.008490	12
0.008542	-77
0.008594	-55
0.008646	41
0.008698	-19
0.008750	-75
0.008802	-63
0.008854	-51
0.008906	-36
0.008958	-53
0.009010	65
0.009063	20
0.009115	-118
0.009167	-29
0.009219	-12
0.009271	-25
0.009323	2
0.009375	10
0.009427	-41
0.009479	-95
0.009531	1
0.009583	41
0.009635	15
0.009687	-98
0.009740	16
0.009792	-62
0.009844	-58
0.009896	-16
0.009948	-35
0.010000	-37
0.010052	-9
0.010104	-30
0.010156	-32
0.010208	-42
0.010260	-21
0.010312	74
0.010365	-13
0.010417	-40
0.010469	-5
0.010521	-47
0.010573	27
0.010625	13
0.010677	8
0.010729	-28
0.010781	-55
0.010833	-26
0.010885	-82
0.010937	-48
0.010990	-2
0.011042	51
0.011094	-26
0.011146	-43
0.011198	71
0.011250	-56
0.011302	-89
0.011354	17
0.011406	-41
0.011458	-73
0.011510	-52
0.011562	-3
0.011615	-38
0.011667	-80
0.011719	-2
0.011771	-15
0.011823	-79
0.011875	-39
0.011927	-5
0.011979	3
0.012031	-55
0.012083	17
0.012135	9
0.012187	2
0.012240	-30
0.012292	-4
0.012344	-49
0.012396	-38
0.012448	14
0.012500	-10
0.012552	-13
0.012604	-30
0.012656	-7
0.012708	-101
0.012760	-69
0.012812	-16
0.012865	-17
0.012917	-21
0.012969	-31
0.013021	21
0.013073	-30
0.013125	-96
0.013177	-15
0.013229	4
0.013281	-96
0.013333	-26
0.013385	41
0.013437	-101
0.013490	-63
0.013542	-57
0.013594	32
0.013646	72
0.013698	-35
0.013750	-8
0.013802	-4
0.013854	-31
0.013906	-17
0.013958	-4
0.014010	-42
0.014062	1
0.014115	43
0.014167	-44
0.014219	-85
0.014271	22
0.014323	-12
0.014375	-28
0.014427	-49
0.014479	35
0.014531	-71
0.014583	-76
0.014635	-6
0.014687	-56
0.014740	-96
0.014792	-90
0.014844	-19
0.014896	-59
0.014948	-49
0.015000	12
0.015052	14
0.015104	-36
0.015156	-74
0.015208	33
0.015260	-40
0.015312	-124
0.015365	-32
0.015417	-34
0.015469	-45
0.015521	-41
0.015573	15
0.015625	-2
0.015677	-25
0.015729	3
0.015781	-6
0.015833	34
0.015885	-75
0.015937	-42
0.015990	-89
0.016042	-74
0.016094	6
0.016146	-39
0.016198	-60
0.016250	-51
0.016302	4
0.016354	-62
0.016406	-26
0.016458	50
0.016510	-6
0.016562	9
0.016615	-24
0.016667	-38
0.016719	-69
0.016771	-9
0.016823	8
0.016875	-17
0.016927	-10
0.016979	11
0.017031	-9
0.017083	-73
0.017135	-125
0.017187	25
0.017240	-49
0.017292	-81
0.017344	-28
0.017396	-59
0.017448	-63
0.017500	10
0.017552	25
0.017604	-11
0.017656	-36
0.017708	-56
0.017760	33
0.017812	-23
0.017865	18
0.017917	50
0.017969	-75
0.018021	-58
0.018073	-31
0.018125	21
0.018177	22
0.018229	3
0.018281	28
0.018333	-12
0.018385	-87
0.018438	24
0.018490	21
0.018542	-22
0.018594	-64
0.018646	-9
0.018698	-1
0.018750	-69
0.018802	-37
0.018854	-49
0.018906	-62
0.018958	-33
0.019010	16
0.019063	-14
0.019115	-67
0.019167	-15
0.019219	-7
0.019271	-44
0.019323	-11
0.019375	23
0.019427	-36
0.019479	-42
0.019531	-13
0.019583	-10
0.019635	-62
0.019688	-39
0.019740	36
0.019792	13
0.019844	-45
0.019896	13
0.019948	-3
0.020000	-94
0.020052	-89
0.020104	-37
0.020156	-61
0.020208	-81
0.020260	-36
0.020313	-8
0.020365	10
0.020417	-4
0.020469	-11
0.020521	5
0.020573	-39
0.020625	34
0.020677	28
0.020729	-61
0.020781	-52
0.020833	5
0.020885	-28
0.020938	-115
0.020990	54
0.021042	-32
0.021094	-49
0.021146	21
0.021198	84
0.021250	-28
0.021302	-27
0.021354	-13
0.021406	22
0.021458	-53
0.021510	-55
0.021563	89
0.021615	-73
0.021667	-56
0.021719	11
0.021771	-11
0.021823	-6
0.021875	12
0.021927	-35
0.021979	-66
0.022031	-94
0.022083	-34
0.022135	-6
0.022188	-34
0.022240	-24
0.022292	-52
0.022344	-75
0.022396	-115
0.022448	-7
0.022500	-16
0.022552	-81
0.022604	-17
0.022656	35
0.022708	-50
0.022760	-53
0.022813	6
0.022865	34
0.022917	-38
0.022969	56
0.023021	38
0.023073	-44
0.023125	-44
0.023177	57
0.023229	6
0.023281	-45
0.023333	-64
0.023385	-5
0.023438	-16
0.023490	-39
0.023542	-7
0.023594	-25
0.023646	-45
0.023698	-90
0.023750	-12
0.023802	-67
0.023854	-55
0.023906	-31
0.023958	-109
0.024010	-93
0.024063	-53
0.024115	-11
0.024167	-89
0.024219	-43
0.024271	10
0.024323	-39
0.024375	-47
0.024427	26
0.024479	51
0.024531	24
0.024583	-35
0.024635	20
0.024688	-16
0.024740	-29
0.024792	30
